year.from,month.from,day.from,year.to,month.to,day.to,week,numdate,raw.births.no.uhp,birth.trend,pop,inner.pop,raw.birth.rate,lin.birth.rate1,lin.birth.rate2
1749,12,26,1750,1,2,1,1749.986,290,280.1619,674986,674986,4.15E-04,0.000414985,0.000587588
1750,1,2,1750,1,9,2,1750.005,384,280.2132,675005,675005,4.15E-04,0.00041505,0.000587653
1750,1,9,1750,1,16,3,1750.025,270,280.265,675025,675025,4.15E-04,0.000415118,0.000587721
1750,1,16,1750,1,23,4,1750.044,290,280.3172,675044,675044,4.15E-04,0.000415183,0.000587785
1750,1,23,1750,1,30,5,1750.063,343,280.3699,675063,675063,4.15E-04,0.000415247,0.00058785
1750,1,30,1750,2,6,6,1750.082,300,280.4231,675082,675082,0.000415391,0.000415703,0.000588306
1750,2,6,1750,2,13,7,1750.101,307,280.4766,675101,675101,4.15E-04,0.000415376,0.000587979
1750,2,13,1750,2,20,8,1750.121,363,280.5306,675121,675121,4.16E-04,0.000416445,0.000589047
1750,2,20,1750,2,27,9,1750.14,296,280.5851,675140,675140,4.16E-04,0.000416509,0.000589112
1750,2,27,1750,3,6,10,1750.159,279,280.6399,675159,675159,4.16E-04,0.000416574,0.000589176
1750,3,6,1750,3,13,11,1750.178,310,280.6952,675178,675178,4.16E-04,0.000416638,0.000589241
1750,3,13,1750,3,20,12,1750.197,287,280.7508,675197,675197,4.16E-04,0.000416703,0.000589306
1750,3,20,1750,3,27,13,1750.216,276,280.8069,675216,675216,4.16E-04,0.000416768,0.00058937
1750,3,27,1750,4,3,14,1750.236,285,280.8633,675236,675236,4.16E-04,0.000416836,0.000589438
1750,4,3,1750,4,10,15,1750.255,250,280.9201,675255,675255,4.16E-04,0.0004169,0.000589503
1750,4,10,1750,4,17,16,1750.274,278,280.9772,675274,675274,4.16E-04,0.000416965,0.000589568
1750,4,17,1750,4,24,17,1750.293,289,281.0347,675293,675293,4.16E-04,0.00041703,0.000589632
1750,4,24,1750,5,1,18,1750.312,232,281.0926,675312,675312,4.16E-04,0.000417094,0.000589697
1750,5,1,1750,5,8,19,1750.332,286,281.1508,675332,675332,4.16E-04,0.000417162,0.000589765
1750,5,8,1750,5,15,20,1750.351,253,281.2093,675351,675351,4.16E-04,0.000417227,0.00058983
1750,5,15,1750,5,22,21,1750.37,238,281.2681,675370,675370,4.16E-04,0.000417291,0.000589894
1750,5,22,1750,5,29,22,1750.389,232,281.3273,675389,675389,4.17E-04,0.000418356,0.000590959
1750,5,29,1750,6,5,23,1750.408,255,281.3867,675408,675408,4.17E-04,0.000418421,0.000591023
1750,6,5,1750,6,12,24,1750.427,269,281.4465,675427,675427,4.17E-04,0.000418485,0.000591088
1750,6,12,1750,6,19,25,1750.447,249,281.5065,675447,675447,4.17E-04,0.000418553,0.000591156
1750,6,19,1750,6,26,26,1750.466,285,281.5668,675466,675466,4.17E-04,0.000418618,0.000591221
1750,6,26,1750,7,3,27,1750.485,305,281.6273,675485,675485,4.17E-04,0.000418683,0.000591285
1750,7,3,1750,7,10,28,1750.504,238,281.6882,675504,675504,4.17E-04,0.000418747,0.00059135
1750,7,10,1750,7,17,29,1750.523,355,281.7493,675523,675523,4.17E-04,0.000418812,0.000591415
1750,7,17,1750,7,24,30,1750.542,250,281.8106,675542,675542,4.17E-04,0.000418876,0.000591479
1750,7,24,1750,7,31,31,1750.562,327,281.8721,675562,675562,4.17E-04,0.000418944,0.000591547
1750,7,31,1750,8,7,32,1750.581,242,281.9339,675581,675581,4.17E-04,0.000419009,0.000591612
1750,8,7,1750,8,14,33,1750.6,266,281.9959,675600,675600,4.17E-04,0.000419074,0.000591676
1750,8,14,1750,8,21,34,1750.619,254,282.0581,675619,675619,4.17E-04,0.000419138,0.000591741
1750,8,21,1750,8,28,35,1750.638,302,282.1205,675638,675638,4.18E-04,0.000420203,0.000592806
1750,8,28,1750,9,4,36,1750.658,281,282.183,675658,675658,4.18E-04,0.000420271,0.000592874
1750,9,4,1750,9,11,37,1750.677,258,282.2458,675677,675677,4.18E-04,0.000420336,0.000592938
1750,9,11,1750,9,18,38,1750.696,297,282.3087,675696,675696,4.18E-04,0.0004204,0.000593003
1750,9,18,1750,9,25,39,1750.715,302,282.3718,675715,675715,4.18E-04,0.000420465,0.000593068
1750,9,25,1750,10,2,40,1750.734,269,282.4351,675734,675734,4.18E-04,0.00042053,0.000593132
1750,10,2,1750,10,9,41,1750.753,293,282.4985,675753,675753,4.18E-04,0.000420594,0.000593197
1750,10,9,1750,10,16,42,1750.773,246,282.562,675773,675773,4.18E-04,0.000420662,0.000593265
1750,10,16,1750,10,23,43,1750.792,238,282.6257,675792,675792,4.18E-04,0.000420727,0.00059333
1750,10,23,1750,10,30,44,1750.811,264,282.6895,675811,675811,4.18E-04,0.000420791,0.000593394
1750,10,30,1750,11,6,45,1750.83,279,282.7533,675830,675830,4.18E-04,0.000420856,0.000593459
1750,11,6,1750,11,13,46,1750.849,257,282.8173,675849,675849,4.18E-04,0.000420921,0.000593523
1750,11,13,1750,11,20,47,1750.868,279,282.8814,675868,675868,4.19E-04,0.000421985,0.000594588
1750,11,20,1750,11,27,48,1750.888,265,282.9456,675888,675888,4.19E-04,0.000422053,0.000594656
1750,11,27,1750,12,4,49,1750.907,257,283.0098,675907,675907,4.19E-04,0.000422118,0.000594721
1750,12,4,1750,12,11,50,1750.926,306,283.0742,675926,675926,4.19E-04,0.000422183,0.000594785
1750,12,11,1750,12,18,51,1750.945,351,283.1385,675945,675945,4.19E-04,0.000422247,0.00059485
1750,12,18,1750,12,25,52,1750.964,233,283.203,675964,675964,4.19E-04,0.000422312,0.000594915
1750,12,25,1751,1,1,1,1750.984,318,283.2674,675984,675984,4.19E-04,0.00042238,0.000594983
1751,1,1,1751,1,8,2,1751.003,314,283.3319,676003,676003,4.19E-04,0.000422444,0.000595047
1751,1,8,1751,1,15,3,1751.022,284,283.3964,676022,676022,4.19E-04,0.000422509,0.000595112
1751,1,15,1751,1,22,4,1751.041,299,283.461,676041,676041,4.19E-04,0.000422574,0.000595176
1751,1,22,1751,1,29,5,1751.06,271,283.5255,676060,676060,4.19E-04,0.000422638,0.000595241
1751,1,29,1751,2,5,6,1751.079,331,283.5901,676079,676079,4.19E-04,0.000422703,0.000595306
1751,2,5,1751,2,12,7,1751.099,261,283.6546,676099,676099,4.20E-04,0.000423771,0.000596374
1751,2,12,1751,2,19,8,1751.118,319,283.7191,676118,676118,4.20E-04,0.000423836,0.000596438
1751,2,19,1751,2,26,9,1751.137,319,283.7836,676137,676137,4.20E-04,0.0004239,0.000596503
1751,2,26,1751,3,5,10,1751.156,264,283.848,676156,676156,4.20E-04,0.000423965,0.000596568
1751,3,5,1751,3,12,11,1751.175,305,283.9124,676175,676175,4.20E-04,0.00042403,0.000596632
1751,3,12,1751,3,19,12,1751.195,305,283.9768,676195,676195,4.20E-04,0.000424098,0.0005967
1751,3,19,1751,3,26,13,1751.214,334,284.041,676214,676214,4.20E-04,0.000424162,0.000596765
1751,3,26,1751,4,2,14,1751.233,286,284.1053,676233,676233,4.20E-04,0.000424227,0.00059683
1751,4,2,1751,4,9,15,1751.252,274,284.1694,676252,676252,4.20E-04,0.000424291,0.000596894
1751,4,9,1751,4,16,16,1751.271,258,284.2334,676271,676271,4.20E-04,0.000424356,0.000596959
1751,4,16,1751,4,23,17,1751.29,272,284.2974,676290,676290,4.20E-04,0.000424421,0.000597023
1751,4,23,1751,4,30,18,1751.31,265,284.3612,676310,676310,4.20E-04,0.000424489,0.000597091
