"","matrix","time","row","col","value"
"1","N",1,0,0,2253055.37733873
"2","S",1,0,0,340681.101682583
"3","I",1,0,0,1010.6540532842
"4","R",1,0,0,1912032.75346012
"5","D",1,0,0,19.6714616093218
"6","model_pop",1,0,0,2253858.07094204
"7","infection",1,0,0,421.208520233264
"8","mu_S",1,0,0,60.6394468736347
"9","mu_I",1,0,0,0.18381054735421
"10","mu_R",1,0,0,340.530481494497
"11","N",2,0,0,2253055.37733873
"12","S",2,0,0,341247.656267654
"13","I",2,0,0,952.037274611137
"14","R",2,0,0,1911776.46434918
"15","D",2,0,0,38.1705505800991
"16","model_pop",2,0,0,2254026.25124203
"17","infection",2,0,0,399.545624104469
"18","mu_S",2,0,0,124.056848606002
"19","mu_I",2,0,0,0.356251132992062
"20","mu_R",2,0,0,695.596173613108
"21","N",3,0,0,2253055.37733873
"22","S",3,0,0,341808.700359599
"23","I",3,0,0,900.486649244761
"24","R",3,0,0,1911361.97937313
"25","D",3,0,0,55.6317942114739
"26","model_pop",3,0,0,2254089.96037556
"27","infection",3,0,0,380.972874430615
"28","mu_S",3,0,0,148.140091405923
"29","mu_I",3,0,0,0.401422734970452
"30","mu_R",3,0,0,829.145809480659
"31","N",4,0,0,2253055.37733873
"32","S",4,0,0,342376.052995439
"33","I",4,0,0,855.762954203973
"34","R",4,0,0,1910875.53722687
"35","D",4,0,0,72.1862069109
"36","model_pop",4,0,0,2254114.41077178
"37","infection",4,0,0,365.360549191507
"38","mu_S",4,0,0,157.443872749311
"39","mu_I",4,0,0,0.403963077281103
"40","mu_R",4,0,0,879.568014716282
"41","N",5,0,0,2253055.37733873
"42","S",5,0,0,342952.402842485
"43","I",5,0,0,817.621931900289
"44","R",5,0,0,1910351.37836282
"45","D",5,0,0,87.9601697483464
"46","model_pop",5,0,0,2254124.060287
"47","infection",5,0,0,352.618542279492
"48","mu_S",5,0,0,161.188668456328
"49","mu_I",5,0,0,0.393464165859296
"50","mu_R",5,0,0,898.751001624958
"51","N",6,0,0,2253055.37733873
"52","S",6,0,0,343537.013664882
"53","I",6,0,0,785.873607236831
"54","R",6,0,0,1909804.18833585
"55","D",6,0,0,103.075940091259
"56","model_pop",6,0,0,2254128.08326802
"57","infection",6,0,0,342.709431722763
"58","mu_S",6,0,0,162.836803661483
"59","mu_I",6,0,0,0.38027285375473
"60","mu_R",6,0,0,906.151740165115
"61","N",7,0,0,2253055.37733873
"62","S",7,0,0,344127.837994931
"63","I",7,0,0,760.406544864509
"64","R",7,0,0,1909241.28750007
"65","D",7,0,0,117.652917085933
"66","model_pop",7,0,0,2254129.9218348
"67","infection",7,0,0,335.644644528577
"68","mu_S",7,0,0,163.688083203955
"69","mu_I",7,0,0,0.368010220249808
"70","mu_R",7,0,0,909.0675554664
"71","N",8,0,0,2253055.37733873
"72","S",8,0,0,344722.29234441
"73","I",8,0,0,741.190110376407
"74","R",8,0,0,1908667.22627647
"75","D",8,0,0,131.809144576191
"76","model_pop",8,0,0,2254130.86751909
"77","infection",8,0,0,331.472720736254
"78","mu_S",8,0,0,164.229987566417
"79","mu_I",8,0,0,0.357955706509594
"80","mu_R",8,0,0,910.236195625709
"81","N",9,0,0,2253055.37733873
"82","S",9,0,0,345317.540764453
"83","I",9,0,0,728.262215982836
"84","R",9,0,0,1908085.52870431
"85","D",9,0,0,145.662715877226
"86","model_pop",9,0,0,2254131.40447705
"87","infection",9,0,0,330.263904236652
"88","mu_S",9,0,0,164.644733501762
"89","mu_I",9,0,0,0.350582293637336
"90","mu_R",9,0,0,910.685217192995
"91","N",10,0,0,2253055.37733873
"92","S",10,0,0,345910.60531025
"93","I",10,0,0,721.707171371612
"94","R",10,0,0,1907499.3599108
"95","D",10,0,0,159.332855051147
"96","model_pop",10,0,0,2254131.71342404
"97","infection",10,0,0,332.092775919439
"98","mu_S",10,0,0,164.999736065259
"99","mu_I",10,0,0,0.346090237681087
"100","mu_R",10,0,0,910.80038463319
"101","N",11,0,0,2253055.37733873
"102","S",11,0,0,346498.424155352
"103","I",11,0,0,721.626095037057
"104","R",11,0,0,1906911.78131556
"105","D",11,0,0,172.940514413715
"106","model_pop",11,0,0,2254131.86093521
"107","infection",11,0,0,337.019021597065
"108","mu_S",11,0,0,165.319191082633
"109","mu_I",11,0,0,0.344586592222442
"110","mu_R",11,0,0,910.726447217713
"111","N",12,0,0,2253055.37733873
"112","S",12,0,0,347077.904677147
"113","I",12,0,0,728.100579620472
"114","R",12,0,0,1906325.84067053
"115","D",12,0,0,186.608356582732
"116","model_pop",12,0,0,2254131.87083702
"117","infection",12,0,0,345.065507564152
"118","mu_S",12,0,0,165.611028422391
"119","mu_I",12,0,0,0.346137810064156
"120","mu_R",12,0,0,910.51768803273
