"","matrix","time","row","col","value"
"1","N",1,0,0,2253055.37753424
"2","S",1,0,0,189590.897837024
"3","I",1,0,0,758.004239958114
"4","R",1,0,0,2063437.85196279
"5","D",1,0,0,15.944378337217
"6","model_pop",1,0,0,2253932.51276907
"7","infection",1,0,0,266.028206781099
"8","mu_S",1,0,0,36.841115059623
"9","mu_I",1,0,0,0.154525119571441
"10","mu_R",1,0,0,401.601170235805
"11","N",2,0,0,2253055.37753424
"12","S",2,0,0,190443.903552622
"13","I",2,0,0,679.904818523792
"14","R",2,0,0,2062938.33417586
"15","D",2,0,0,30.020439504064
"16","model_pop",2,0,0,2254116.87447549
"17","infection",2,0,0,257.327191485068
"18","mu_S",2,0,0,75.5847871970911
"19","mu_I",2,0,0,0.284655231223704
"20","mu_R",2,0,0,820.583683452406
"21","N",3,0,0,2253055.37753424
"22","S",3,0,0,191285.626165074
"23","I",3,0,0,628.232460997533
"24","R",3,0,0,2062252.31163822
"25","D",3,0,0,42.8318514823444
"26","model_pop",3,0,0,2254186.75207306
"27","infection",3,0,0,253.668880173321
"28","mu_S",3,0,0,90.5262016551192
"29","mu_I",3,0,0,0.309763322129013
"30","mu_R",3,0,0,978.242600032156
"31","N",4,0,0,2253055.37753424
"32","S",4,0,0,192121.674469245
"33","I",4,0,0,595.815422075457
"34","R",4,0,0,2061488.17930238
"35","D",4,0,0,54.8230223223468
"36","model_pop",4,0,0,2254213.43052633
"37","infection",4,0,0,253.3928495135
"38","mu_S",4,0,0,96.4765405951626
"39","mu_I",4,0,0,0.307827691702536
"40","mu_R",4,0,0,1037.6432257438
"41","N",5,0,0,2253055.37753424
"42","S",5,0,0,192953.403020356
"43","I",5,0,0,577.0743362789
"44","R",5,0,0,2060690.29915115
"45","D",5,0,0,66.3146542010181
"46","model_pop",5,0,0,2254223.71770687
"47","infection",5,0,0,255.16879081462
"48","mu_S",5,0,0,99.0203523546515
"49","mu_I",5,0,0,0.30151705668986
"50","mu_R",5,0,0,1059.99687891159
"51","N",6,0,0,2253055.37753424
"52","S",6,0,0,193781.160829895
"53","I",6,0,0,567.623918406182
"54","R",6,0,0,2059877.81775444
"55","D",6,0,0,77.5307216495351
"56","model_pop",6,0,0,2254227.7256597
"57","infection",6,0,0,257.893651460137
"58","mu_S",6,0,0,100.266233280706
"59","mu_I",6,0,0,0.296721519967401
"60","mu_R",6,0,0,1068.31267707585
"61","N",7,0,0,2253055.37753424
"62","S",7,0,0,194605.333462559
"63","I",7,0,0,564.048860073564
"64","R",7,0,0,2059059.47735213
"65","D",7,0,0,88.6193498542435
"66","model_pop",7,0,0,2254229.29264573
"67","infection",7,0,0,260.73232245475
"68","mu_S",7,0,0,101.012739161265
"69","mu_I",7,0,0,0.294279355625545
"70","mu_R",7,0,0,1071.26487553532
"71","N",8,0,0,2253055.37753424
"72","S",8,0,0,195426.461699533
"73","I",8,0,0,563.847692977721
"74","R",8,0,0,2058239.41569268
"75","D",8,0,0,99.6710037577335
"76","model_pop",8,0,0,2254229.8930294
"77","infection",8,0,0,263.225255664372
"78","mu_S",8,0,0,101.564201641466
"79","mu_I",8,0,0,0.293655645552167
"80","mu_R",8,0,0,1072.14277265755
"81","N",9,0,0,2253055.37753424
"82","S",9,0,0,196244.960285424
"83","I",9,0,0,565.470498545217
"84","R",9,0,0,2057419.60789463
"85","D",9,0,0,110.736580581119
"86","model_pop",9,0,0,2254230.10339836
"87","infection",9,0,0,265.381228717594
"88","mu_S",9,0,0,102.037879671796
"89","mu_I",9,0,0,0.294160272864965
"90","mu_R",9,0,0,1072.2064841077
"91","N",10,0,0,2253055.37753424
"92","S",10,0,0,197060.708496571
"93","I",10,0,0,568.350658813659
"94","R",10,0,0,2056601.06801314
"95","D",10,0,0,121.846268296673
"96","model_pop",10,0,0,2254230.15175985
"97","infection",10,0,0,267.690053466379
"98","mu_S",10,0,0,102.479429666882
"99","mu_I",10,0,0,0.295378365866883
"100","mu_R",10,0,0,1071.94470860017
"101","N",11,0,0,2253055.37753424
"102","S",11,0,0,197872.685388402
"103","I",11,0,0,572.852032022466
"104","R",11,0,0,2055784.57576377
"105","D",11,0,0,133.028254746696
"106","model_pop",11,0,0,2254230.12354816
"107","infection",11,0,0,271.034582606756
"108","mu_S",11,0,0,102.906219841573
"109","mu_I",11,0,0,0.297308226280124
"110","mu_R",11,0,0,1071.5461640979
"111","N",12,0,0,2253055.37753424
"112","S",12,0,0,198678.74608956
"113","I",12,0,0,580.108263084578
"114","R",12,0,0,2054971.17827633
"115","D",12,0,0,144.325359432658
"116","model_pop",12,0,0,2254230.04023925
"117","infection",12,0,0,276.533379927548
"118","mu_S",12,0,0,103.323613195439
"119","mu_I",12,0,0,0.300356580756278
"120","mu_R",12,0,0,1071.07717503837
"121","N",13,0,0,2253055.37753424
"122","S",13,0,0,199475.56031177
"123","I",13,0,0,591.786585977816
"124","R",13,0,0,2054162.53432455
"125","D",13,0,0,155.80776359518
"126","model_pop",13,0,0,2254229.89140565
"127","infection",13,0,0,285.372229841503
"128","mu_S",13,0,0,103.731242228511
"129","mu_I",13,0,0,0.305253376758716
"130","mu_R",13,0,0,1070.55020118557
"131","N",14,0,0,2253055.37753424
"132","S",14,0,0,200258.683347565
"133","I",14,0,0,609.831675669814
"134","R",14,0,0,2053361.11997457
"135","D",14,0,0,167.580908250024
"136","model_pop",14,0,0,2254229.64991525
"137","infection",14,0,0,298.669017559971
"138","mu_S",14,0,0,104.125640924979
"139","mu_I",14,0,0,0.312930281278262
"140","mu_R",14,0,0,1069.95220290959
"141","N",15,0,0,2253055.37753424
"142","S",15,0,0,201022.722672332
"143","I",15,0,0,636.227466315568
"144","R",15,0,0,2052570.31083853
"145","D",15,0,0,179.788572234524
"146","model_pop",15,0,0,2254229.28077397
"147","infection",15,0,0,317.376808754965
"148","mu_S",15,0,0,104.501560757962
"149","mu_I",15,0,0,0.324394919693242
"150","mu_R",15,0,0,1069.25809525323
"151","N",16,0,0,2253055.37753424
"152","S",16,0,0,201761.594657531
"153","I",16,0,0,672.77425322425
"154","R",16,0,0,2051794.35502133
"155","D",16,0,0,192.611493469048
"156","model_pop",16,0,0,2254228.74731087
"157","infection",16,0,0,342.192901942737
"158","mu_S",16,0,0,104.852807138698
"159","mu_I",16,0,0,0.340612672272828
"160","mu_R",16,0,0,1068.43839831902
"161","N",17,0,0,2253055.37753424
"162","S",17,0,0,202468.911035971
"163","I",17,0,0,720.842815046976
"164","R",17,0,0,2051038.23790577
"165","D",17,0,0,206.2614817986
"166","model_pop",17,0,0,2254228.01637006
"167","infection",17,0,0,373.428385694099
"168","mu_S",17,0,0,105.17293014548
"169","mu_I",17,0,0,0.362386238658765
"170","mu_R",17,0,0,1067.46456486657
"171","N",18,0,0,2253055.37753424
"172","S",18,0,0,203138.562546264
"173","I",18,0,0,781.059643372704
"174","R",18,0,0,2050307.41875299
"175","D",18,0,0,220.970118905709
"176","model_pop",18,0,0,2254227.06370063
"177","infection",18,0,0,410.810223585658
"178","mu_S",18,0,0,105.455960401868
"179","mu_I",18,0,0,0.390211530404073
"180","mu_R",18,0,0,1066.31369940062
"181","N",19,0,0,2253055.37753424
"182","S",19,0,0,203765.548085648
"183","I",19,0,0,852.910928186882
"184","R",19,0,0,2049607.40404551
