"","matrix","time","row","col","value"
"1","N",1,0,0,2253055.37733873
"2","S",1,0,0,340681.101843355
"3","I",1,0,0,1010.65405328306
"4","R",1,0,0,1912032.75329935
"5","D",1,0,0,19.6714616059205
"6","model_pop",1,0,0,2253858.07094205
"7","infection",1,0,0,421.208520251617
"8","mu_S",1,0,0,60.6394469024827
"9","mu_I",1,0,0,0.183810547353262
"10","mu_R",1,0,0,340.530481467047
"11","N",2,0,0,2253055.37733873
"12","S",2,0,0,341247.656428343
"13","I",2,0,0,952.037274630143
"14","R",2,0,0,1911776.46418847
"15","D",2,0,0,38.1705505739041
"16","model_pop",2,0,0,2254026.25124203
"17","infection",2,0,0,399.545624128896
"18","mu_S",2,0,0,124.056848664854
"19","mu_I",2,0,0,0.356251132996706
"20","mu_R",2,0,0,695.596173556734
"21","N",3,0,0,2253055.37733873
"22","S",3,0,0,341808.700520189
"23","I",3,0,0,900.486649280086
"24","R",3,0,0,1911361.97921251
"25","D",3,0,0,55.6317942029947
"26","model_pop",3,0,0,2254089.96037556
"27","infection",3,0,0,380.972874459713
"28","mu_S",3,0,0,148.140091475953
"29","mu_I",3,0,0,0.401422734983343
"30","mu_R",3,0,0,829.145809412944
"31","N",4,0,0,2253055.37733873
"32","S",4,0,0,342376.053155923
"33","I",4,0,0,855.762954252362
"34","R",4,0,0,1910875.53706634
"35","D",4,0,0,72.1862069005581
"36","model_pop",4,0,0,2254114.41077178
"37","infection",4,0,0,365.360549224195
"38","mu_S",4,0,0,157.443872823502
"39","mu_I",4,0,0,0.403963077301244
"40","mu_R",4,0,0,879.568014644088
"41","N",5,0,0,2253055.37733873
"42","S",5,0,0,342952.403002857
"43","I",5,0,0,817.621931959078
"44","R",5,0,0,1910351.37820239
"45","D",5,0,0,87.9601697364878
"46","model_pop",5,0,0,2254124.060287
"47","infection",5,0,0,352.618542314978
"48","mu_S",5,0,0,161.1886685321
"49","mu_I",5,0,0,0.393464165885314
"50","mu_R",5,0,0,898.751001551178
"51","N",6,0,0,2253055.37733873
"52","S",6,0,0,343537.013825141
"53","I",6,0,0,785.873607303916
"54","R",6,0,0,1909804.18817552
"55","D",6,0,0,103.075940078165
"56","model_pop",6,0,0,2254128.08326802
"57","infection",6,0,0,342.709431760502
"58","mu_S",6,0,0,162.836803737726
"59","mu_I",6,0,0,0.380272853785074
"60","mu_R",6,0,0,906.151740090083
"61","N",7,0,0,2253055.37733873
"62","S",7,0,0,344127.838155073
"63","I",7,0,0,760.406544938301
"64","R",7,0,0,1909241.28733985
"65","D",7,0,0,117.652917071831
"66","model_pop",7,0,0,2254129.9218348
"67","infection",7,0,0,335.644644568222
"68","mu_S",7,0,0,163.688083280435
"69","mu_I",7,0,0,0.368010220283855
"70","mu_R",7,0,0,909.067555391283
"71","N",8,0,0,2253055.37733873
"72","S",8,0,0,344722.292504434
"73","I",8,0,0,741.190110455762
"74","R",8,0,0,1908667.22611637
"75","D",8,0,0,131.809144561264
"76","model_pop",8,0,0,2254130.86751909
"77","infection",8,0,0,331.472720777614
"78","mu_S",8,0,0,164.229987642938
"79","mu_I",8,0,0,0.357955706546546
