"","matrix","time","row","col","value"
"1","N",1,0,0,2253055.37733873
"2","S",1,0,0,340681.101805793
"3","I",1,0,0,1010.65405326128
"4","R",1,0,0,1912032.75333693
"5","D",1,0,0,19.6714616062222
"6","model_pop",1,0,0,2253858.07094205
"7","infection",1,0,0,421.208520240187
"8","mu_S",1,0,0,60.6394468957448
"9","mu_I",1,0,0,0.183810547349331
"10","mu_R",1,0,0,340.530481473478
"11","N",2,0,0,2253055.37733873
"12","S",2,0,0,341247.656390806
"13","I",2,0,0,952.037274607157
"14","R",2,0,0,1911776.46422603
"15","D",2,0,0,38.1705505744394
"16","model_pop",2,0,0,2254026.25124203
"17","infection",2,0,0,399.545624117223
"18","mu_S",2,0,0,124.056848651135
"19","mu_I",2,0,0,0.35625113298837
"20","mu_R",2,0,0,695.596173570074
"21","N",3,0,0,2253055.37733873
"22","S",3,0,0,341808.70048268
"23","I",3,0,0,900.486649256253
"24","R",3,0,0,1911361.97925004
"25","D",3,0,0,55.6317942037074
"26","model_pop",3,0,0,2254089.96037556
"27","infection",3,0,0,380.97287444792
"28","mu_S",3,0,0,148.140091459654
"29","mu_I",3,0,0,0.401422734973111
"30","mu_R",3,0,0,829.145809429098
"31","N",4,0,0,2253055.37733873
"32","S",4,0,0,342376.053118443
"33","I",4,0,0,855.762954227968
"34","R",4,0,0,1910875.53710384
"35","D",4,0,0,72.1862069014029
"36","model_pop",4,0,0,2254114.41077178
"37","infection",4,0,0,365.360549212363
"38","mu_S",4,0,0,157.443872806257
"39","mu_I",4,0,0,0.403963077290167
"40","mu_R",4,0,0,879.568014661421
"41","N",5,0,0,2253055.37733873
"42","S",5,0,0,342952.402965407
"43","I",5,0,0,817.621931934336
"44","R",5,0,0,1910351.37823987
"45","D",5,0,0,87.9601697374284
"46","model_pop",5,0,0,2254124.060287
"47","infection",5,0,0,352.618542303148
"48","mu_S",5,0,0,161.188668514452
"49","mu_I",5,0,0,0.393464165873693
"50","mu_R",5,0,0,898.751001568682
"51","N",6,0,0,2253055.37733873
"52","S",6,0,0,343537.01378772
"53","I",6,0,0,785.873607278967
"54","R",6,0,0,1909804.18821297
"55","D",6,0,0,103.075940079173
"56","model_pop",6,0,0,2254128.08326802
"57","infection",6,0,0,342.709431748683
