# This is a csv of typos I found in the LBoM/RGWR digitized SF data set that I compared to the Wellcome (Wc) scans:
# sd entry = start date entry error
# ed entry = end date entry error
# sd & ed entry = start and end date entry error (usually misaligned)
# missing = missing entry/row
# death entry = death entry error (probably more, just noted the ones I found myself from scanning through)
"start date", "end date", "typo type", "notes"
1949-12-30, 1950-01-07, sd entry, new sd = 1949-12-31
1947-12-27, 1948-01-03, missing, new deaths = 2 new acm = 968 new births = 1535
1941-11-27, 1941-12-06, sd entry, new sd = 1941-11-29
1941-11-20, 1941-11-27, sd & ed entry, new sd = 1941-11-22 new ed = 1941-11-29
1941-11-13, 1941-11-20, sd & ed entry, new sd = 1941-11-15 new ed = 1941-11-22
1941-11-08, 1941-11-13, ed entry, new ed = 1941-11-15
1940-07-07, 1940-07-13, sd entry, new sd = 1940-07-06
1940-06-29, 1940-07-07, ed entry, new ed = 1940-07-06
1939-12-29, 1940-01-06, sd entry, new sd = 1939-12-30
1939-01-14, 1939-01-21, missing, new deaths = 0 new acm = 1302 new births = 1120
1939-01-21, 1939-01-28, missing, Wc scans for this week TRULY MISSING MUST IMPUTE
1938-07-16, 1938-06-23, ed entry, new ed = 1938-07-23
1938-06-23, 1938-07-30, sd entry, new sd = 1938-07-23
1933-04-15, 1933-02-22, ed entry, new ed = 1933-04-22
1933-02-22, 1933-04-29, sd entry, new sd = 1933-04-22
1932-12-30, 1933-01-07, sd entry, new sd = 1932-12-31
1932-08-07, 1932-08-13, sd entry, new sd = 1932-08-06
1932-07-30, 1932-08-07, ed entry, new ed = 1932-08-06
1929-11-23, 1929-11-30, missing, new deaths = 2 new acm = 1032 new births = 1292
1929-03-09, 1929-03-16, missing, new deaths = 1 new acm = 2006 new births = 1526
1929-03-16, 1929-03-23, missing, new deaths = 0 new acm = 1775 new births = 1577
1929-03-23, 1929-03-30, missing, new deaths = 2 new acm = 1331 new births = 1347
1929-03-30, 1929-04-06, missing, new deaths = 1 new acm = 1202 new births = 1381
1929-04-06, 1929-04-13, missing, new deaths = 2 new acm = 1153 new births = 1500
1929-04-13, 1929-04-20, missing, new deaths = 1 new acm = 1176 new births = 1614
1929-04-20, 1929-04-27, missing, new deaths = 0 new acm = 1091 new births = 1391
1929-04-27, 1929-05-04, missing, new deaths = 0 new acm = 1039 new births = 1426
1929-05-04, 1929-05-11, missing, new deaths = 1 new acm = 1019 new births = 1569
1928-03-10, 1928-03-17, missing, new deaths = 9 new acm = 1305 new births = 1461
1928-03-17, 1928-03-24, missing, new deaths = 4 new acm = 1361 new births = 1581
1928-03-24, 1928-03-31, missing, new deaths = 9 new acm = 1223 new births = 1486
1928-03-31, 1928-04-07, missing, new deaths = 5 new acm = 1169 new births = 1266
1928-04-07, 1928-04-14, missing, new deaths = 4 new acm = 1203 new births = 1444
1928-04-14, 1928-04-21, missing, new deaths = 5 new acm = 1137 new births = 1524
1928-04-21, 1928-04-28, missing, new deaths = 5 new acm = 1135 new births = 1571
1928-04-28, 1928-05-05, missing, new deaths = 3 new acm = 1127 new births = 1523
1928-05-05, 1928-05-12, missing, new deaths = 1 new acm = 948 new births = 1554
same missing march april may dates for 1927
1909-04-24, 1909-05-02, ed entry, new ed = 1909-05-01
1909-05-02, 1909-05-09, sd & ed entry, new sd = 1909-05-01 new ed = 1909-05-08
