"","year.from","month.from","day.from","year.to","month.to","day.to","weeknum","numdate","birth","birth.no.mv","birth.no.uhp","birth.trend","birth.trend.fitted","birth.fitted"
"1",1842,1,2,1842,1,8,1,1842.00547945205,157,1158.461538,1158.461538,345.2353856,1079.898622,1893.124775
"2",1842,1,8,1842,1,15,2,1842.02191780822,123,1158.461538,1158.461538,1095.765089,1080.602587,1143.299036
"3",1842,1,15,1842,1,22,3,1842.04109589041,176,1158.461538,1158.461538,1096.115342,1081.307131,1143.653327
"4",1842,1,22,1842,1,29,4,1842.0602739726,207,1158.461538,1158.461538,1096.469518,1082.012255,1144.004275
"5",1842,1,29,1842,2,5,5,1842.07945205479,207,1158.461538,1158.461538,1096.827616,1082.717959,1144.351881
"6",1842,2,5,1842,2,12,6,1842.09863013699,190,1158.461538,1158.461538,1097.189638,1083.424245,1144.696145
"7",1842,2,12,1842,2,19,7,1842.11780821918,126,1158.461538,1158.461538,1097.555584,1084.131112,1145.037066
"8",1842,2,19,1842,2,26,8,1842.13698630137,247,1158.461538,1158.461538,1097.925454,1084.838561,1145.374645
"9",1842,2,26,1842,3,5,9,1842.15616438356,NA,1158.461538,1158.461538,1098.299248,1085.546592,1145.708882
"10",1842,3,5,1842,3,12,10,1842.17534246575,149,1158.461538,1158.461538,1098.676987,1098.676987,1158.461538
"11",1842,3,12,1842,3,19,11,1842.19452054795,143,1158.461538,1158.461538,1099.058632,1099.058632,1158.461538
"12",1842,3,19,1842,3,26,12,1842.21369863014,242,1158.461538,1158.461538,1099.444203,1099.444203,1158.461538
"13",1842,3,26,1842,4,2,13,1842.23287671233,203,1158.461538,1158.461538,1099.8337,1099.8337,1158.461538
"14",1842,4,2,1842,4,9,14,1842.25205479452,155,1158.461538,1158.461538,1100.227124,1100.227124,1158.461538
"15",1842,4,9,1842,4,16,15,1842.27123287671,247,1158.461538,1158.461538,1100.624475,1100.624475,1158.461538
"16",1842,4,16,1842,4,23,16,1842.2904109589,322,1158.461538,1158.461538,1101.025753,1101.025753,1158.461538
"17",1842,4,23,1842,4,30,17,1842.3095890411,182,1158.461538,1158.461538,1101.430959,1101.430959,1158.461538
"18",1842,4,30,1842,5,7,18,1842.32876712329,163,1158.461538,1158.461538,1101.840094,1101.840094,1158.461538
"19",1842,5,7,1842,5,14,19,1842.34794520548,256,1158.461538,1158.461538,1102.253158,1102.253158,1158.461538
"20",1842,5,14,1842,5,21,20,1842.36712328767,NA,1158.461538,1158.461538,1102.67015,1102.67015,1158.461538
"21",1842,5,21,1842,5,28,21,1842.38630136986,344,1158.461538,1158.461538,1103.091073,1103.091073,1158.461538
"22",1842,5,28,1842,6,4,22,1842.40547945205,210,1158.461538,1158.461538,1103.515948,1103.515948,1158.461538
"23",1842,6,4,1842,6,11,23,1842.42465753425,407,1158.461538,1158.461538,1103.944731,1103.944731,1158.461538
"24",1842,6,11,1842,6,18,24,1842.44383561644,627,1158.461538,1158.461538,1104.377445,1104.377445,1158.461538
"25",1842,6,18,1842,6,25,25,1842.46301369863,145,1158.461538,1158.461538,1104.81409,1104.81409,1158.461538
